ID,NOME,GASTO
2,Maria,220.0
3,Ana,75.2
4,Lucas,320.5
5,Pedro,50.0
6,Julia,80.0
7,Rafael,100.25
8,Gabriel,45.3
9,Carla,170.0
10,Paulo,210.5
11,Luiza,65.7
12,Marcos,190.0
13,Sofia,50.0
14,Felipe,75.3
15,Marina,350.2
16,Eduardo,80.4
17,Roberta,110.0
18,Rodrigo,25.0
19,Isabela,60.0
20,Bruno,40.5
21,Tiago,90.0
22,Carolina,120.3
23,André,80.0
24,Bianca,45.7
25,Leandro,250.0
26,Isadora,65.8
27,Henrique,150.0
28,Larissa,80.9
29,Vinicius,180.0
30,Fernanda,120.0
31,Gustavo,50.5
32,Mariana,95.0
33,Diego,130.0
34,Aline,180.5
35,Ricardo,60.0
36,Tatiana,110.2
37,Alexandre,75.0
38,Lívia,90.0
39,Leonardo,120.0
40,Silvia,55.5
41,Guilherme,200.0
42,Jéssica,120.0
43,Arthur,75.8
44,Caroline,90.0
45,Renato,55.2
46,Camila,150.0
47,Carlos,80.0
48,Tamires,30.5
49,Gabriela,190.0
50,Leila,140.0
51,Andreia,55.0
52,Thiago,85.2
53,Ana Clara,45.0
54,Lucas Henrique,135.0
55,Priscila,220.5
56,Victor,65.3
57,Regina,40.0
58,Matheus,90.2
59,Daniel,120.0
60,Isabel,75.0
61,Antonio,60.5
62,Marcia,110.0
63,Matias,150.8
64,Caroline,180.0
65,Davi,50.0
66,Paula,80.0
67,Gilberto,120.5
68,Emanuela,130.0
69,Junior,40.0
70,Luciana,60.0
71,Giovanni,180.0
72,Ingrid,150.0
73,José,90.0
74,Bruna,45.3
75,Amanda,120.0
76,Joana,75.5
77,Luana,55.0
78,Diego Henrique,80.2
79,Adriana,100.0
80,Francisco,35.0
81,Nicole,65.0
82,Reginaldo,150.0
83,João Victor,100.5
84,Roberto,90.0
85,Tamara,40.0
86,Fabiana,95.0
87,Gabrielly,85.0
88,Jackson,55.5
89,Débora,120.0
90,Emilly,75.2
91,Luiz,110.0
92,Raphael,80.0
93,Antonella,150.0
94,Benjamin,95.5
95,Karla,70.0
96,Beatriz,40.2
97,João Pedro,120.0
98,Regiane,90.5
99,Isaac,75.0
100,Edna,60.0
101,David,110.0
102,Márcio,80.2
103,Danieli,150.5
104,Cauã,85.0
105,Rafaela,120.0
106,Valdir,40.5
107,Érica,90.0
108,Heitor,75.0
109,Maíra,60.0
110,Samuel,110.0
111,Rayane,80.2
112,Larissa,150.5
113,Jessica,85.0
114,Marcos Paulo,120.0
115,Eliana,90.0
116,Marcelo,60.0
117,Tiago,110.0
118,Viviane,80.2
119,Jaqueline,150.5
120,Mayara,85.0
121,Guilhermina,120.0
122,Juliano,90.0
123,Simone,60.0
124,Joaquim,110.0
125,Alana,80.2
126,Lais,150.5
127,Lucas Oliveira,85.0
128,Gilmar,120.0
129,Leiliane,90.0
